,date,timestamp,main_title,main_content,feature_title_0,feature_title_1,feature_title_2,video_title_0,video_title_1,video_title_2,stories_title_0,stories_title_1,stories_title_2,stories_title_3,stories_title_4,stories_title_5,stories_content_0,stories_content_1,stories_content_2,stories_content_3,stories_content_4,stories_content_5
0,20200201,20200201083608,Earnings volatility set to kick in as coronavirus worries mount,"Concerns over the outbreak of coronavirus from China have largely overshadowed corporate results, but the back half of the earnings season could hold greater sway over the performance of individual stocks.",Apple to close all China mainland stores due to virus outbreak,PG&E; proposes board revamp in revised bankruptcy plan,Bayer considers new tactic in Roundup settlement talks,"Virus fears, weak data spark 600-pt Dow plunge","Week ahead: jobs, Google earnings and Iowa votes",This market sell-off is a buying opportunity -analyst,"Pilots, flight attendants demand flights to China stop as virus fear mounts worldwide","Amazon holiday quarter delivers, threatens profit squeeze for UPS and FedEx","U.S.-UK trade deal needs labor, climate protections, enforcement: U.S. lawmaker",Exclusive: Conoravirus outbreak delays Carlyle's Atotech IPO - sources,Trump signs executive order aimed at preventing sales of counterfeit goods from overseas,Major U.S. airlines cancel China flights as government steps up warnings,"Pilots and flight attendants are demanding airlines stop flights to China as health officials declare a global emergency over the rapidly spreading coronavirus, with American Airlines' pilots filing a lawsuit seeking an immediate halt.","Amazon.com Inc's  rapid expansion of one-day shipping delivered a strong holiday quarter and showed the rising ambition of the company, which in six years has created a network that handles nearly as many packages as FedEx Corp .","A future U.S.-UK trade agreement must incorporate strong provisions on worker rights, environmental protection, and enforcement to ensure bipartisan support, U.S. House Ways and Means Committee Chairman Richard Neal said on Friday, staking out a claim for Congress to help shape any such accord.","Buyout firm Carlyle Group Inc  has delayed the U.S. initial public offering (IPO) of its German specialty chemicals group Atotech, concerned that the coronavirus outbreak would negatively impact the valuation it could achieve with investors, people familiar with the matter said on Friday.","President Donald Trump signed an executive order on Friday aimed at preventing counterfeit products from abroad from being sold to U.S. citizens who shop online using Amazon.com, Walmart.com or other ecommerce websites, the White House said.","All three major U.S. airlines announced the cancellation of flights to mainland China on Friday as the U.S. government unveiled additional steps to curb the spread of the coronavirus, which originated in China."
1,20200202,20200202130509,WeWork names real estate industry veteran Mathrani as CEO,Softbank -backed office sharing firm WeWork named real estate industry veteran Sandeep Mathrani as its new chief executive on Saturday.,Earnings volatility set to kick in as coronavirus worries mount,Apple to close all China mainland stores due to virus outbreak,"13 minutes, $13 million: The logistics of pulling off a Super Bowl halftime show",Bloomberg floats wealth tax for people 'like me',International precautions as coronavirus death toll jumps,"Virus fears, weak data spark 600-pt Dow plunge","Pilots, flight attendants demand flights to China stop as virus fear mounts worldwide",Malaysia regulator to probe if AirAsia broke rules in Airbus deals,China to inject $174 billion of liquidity on February 3 as markets reopen,Miners face funding squeeze as green investing surges,PG&E; proposes board revamp in revised bankruptcy plan,Credit Suisse also spied on Greenpeace: newspaper,"Pilots and flight attendants are demanding airlines stop flights to China as health officials declare a global emergency over the rapidly spreading coronavirus, with American Airlines' pilots filing a lawsuit seeking an immediate halt.","Malaysia's securities regulator said on Sunday it will examine whether AirAsia Group  and unit AirAsia X  broke securities laws, after UK prosecutors accused executives of receiving bribes from Airbus  for buying planes.","China's central bank said it will inject 1.2 trillion yuan ($173.8 billion) worth of liquidity into the markets via reverse repo operations on Monday, as the country prepares to reopen its stock markets amid a new coronavirus outbreak.","As global investors shift away from heavy industry in favor of cleaner sectors, mining companies are losing billions in financing, raising the cost of capital and jeopardizing projects.",Bankrupt California power producer PG&E; Corp said on Saturday it had submitted an updated bankruptcy reorganization plan including a new board of directors and new roles aimed at addressing concerns raised by California Governor Gavin Newsom.,"Credit Suisse , which has faced a scandal related to spying on senior executives, also conducted espionage against Greenpeace, Swiss newspaper SonntagsZeitung reported."
2,20200203,20200203084440,Virus fears wipe $393 billion off China's stock market despite government support moves,"Investors erased $393 billion from China's benchmark stock index on Monday, sold the yuan and dumped commodities as fears about the spreading coronavirus and its economic impact drove selling on the first day of trade in China since the Lunar New Year.",U.S. flight rules on China visits will pose new airline challenges,China's CATL signs battery supply agreement with Tesla,Utilities stocks trump other havens as virus fears spread,Bloomberg floats wealth tax for people 'like me',International precautions as coronavirus death toll jumps,"Virus fears, weak data spark 600-pt Dow plunge",Exclusive: Germany ran world's largest current account surplus in 2019 - Ifo,Asian shares sink as virus fears maul China's markets,Coronavirus tips jet fuel margins into biggest monthly fall in over a decade,U.S. class actions pile up against Australia's Westpac amid money-laundering scandal,Shares of food delivery giant Just Eat-Takeaway start trading,Ryanair says MAX woes could delay growth plans by up to two years,"Germany's current account surplus remained the world's largest last year despite trade tensions, the Ifo economic institute will say on Monday, in an estimate likely to renew criticism of Chancellor Angela Merkel's fiscal policies.","Asian shares were dragged to near two-month lows on Monday by Chinese markets, which plunged on their first trading day after a long break on fears the coronavirus epidemic would hit demand in the world's second-largest economy.",The suspension of flights to China by global airlines due to the coronavirus epidemic resulted in Asian refining margins for jet fuel in January showing their biggest monthly decline in a more than a decade.,"Australia's No.2 lender Westpac Banking Corp  was hit with another U.S. class-action lawsuit in less than a week on Monday, over issues with its financial crime monitoring amid a recent money laundering scandal.","Shares in Just Eat-Takeaway, the company forged by Dutch online service Takeaway's $7.8 billion acquisition of British food deliverer Just Eat, commence trading on the London Stock Exchange on Monday.","Ryanair  may have to push back its long-term target of flying 200 million passengers per year by as much as two years due to delays in the delivery of Boeing's  737 MAX jet, Europe's largest low-cost carrier said on Monday."
3,20200204,20200204133652,China's airlines told not to axe global flights as thousands cut,"China's civil aviation authority has urged domestic carriers to continue flying international routes as they consider cuts in response to a drop in demand due to the coronavirus outbreak, state news agency Xinhua reported on Tuesday.",Electric future: Britain to ban new petrol and hybrid cars from 2035,Futures surge as China liquidity measures calm investor fears,"Exclusive: As virus fallout widens, China readies more measures to stabilize economy - sources",Phone camera wars help Sony beat forecasts,Global shares rebound as China markets stabilise,Alphabet reveals YouTube revenue for first time,Exclusive: Venezuelan banks begin storing dollars amid Maduro's liberalization - sources,Visa planning biggest changes to swipe fees in a decade: Bloomberg,Exclusive: Fund giant Vanguard bypasses banks with forex algos,"Global stocks, commodities firmer as virus fever abates",BP boosts dividend as profit tops forecast and CEO bows out,Higher winterwear prices boost Ralph Lauren holiday margins; shares rise 6%,"At least half a dozen Venezuelan banks have begun storing in vaults millions of dollars and euros accumulated in cash by businesses during an unexpected economic liberalization by President Nicolas Maduro, according to sources.","Visa Inc  is planning the biggest changes in a decade to the rates U.S. merchants pay to accept its cards, Bloomberg reported https://bloom.bg/2vGWtA7 on Tuesday, citing a document Visa sent to banks.","Vanguard, the $5.6 trillion asset manager, plans to start using computer-run algorithms this year to trade FX directly with other funds, depriving banks of some of the fees they earn as the middlemen in currency deals.","World markets bounced on Tuesday, with Chinese stocks reversing some of a previous coronavirus-related plunge amid official efforts to soothe nerves over the spreading outbreak, though sentiment remained fragile with oil near 13-month lows.",BP  raised its dividend and said it had completed a $1.5 billion share buyback program in a sign of confidence in its growing oil and gas business on the last day in office for Chief Executive Bob Dudley.,"Ralph Lauren Corp  beat market expectations for the holiday-quarter profit on Tuesday, as higher prices for its winterwear boosted margins, sending the fashion house's shares up 6% in premarket trading."
4,20200205,20200205130607,"Trump touts stock market's record run, but who benefits?","Donald Trump loves to trumpet the hot U.S. stock market as a key achievement of his presidency, and he was in full self-congratulatory mode on that front during Tuesday night's State of the Union address.","Stimulus hope, virus containment steps fuel renewed equity surge",'Giga Texas?' Musk asks Twitter users to vote on new gigafactory,"With Tesla stock envy, GM hopes to sell investors on its EV, tech future",Stocks jump on unverified coronavirus cure reports,Disney+ subscriber number wows Wall Street,Wall Street jumps as China measures soothe virus worries,"U.S. to review new curbs on Huawei, China in Feb. meeting: sources","Wilted flowers, empty cafes: China's small businesses bear coronavirus costs",Airbus halts output at Tianjin assembly plant due to coronavirus,British Airways owner IAG sees coronavirus having only marginal impact on global travel,Argentina's 'little trees' blossom as forex controls fuel black market,Adidas closes 'considerable' number of shops in China due to coronavirus,"The Trump administration plans to meet this month to discuss further curbing technology exports to China and its flagship telecoms company Huawei, two sources said, in a bid to resolve differences within the government over the possible crackdown.","What is worrying Rao Yong more than the daily news updates of a virus outbreak gripping China is that he may soon have to shut his online handicraft store and tell the 1,400 craftswomen he employs he is no longer able to sell their work.","Airbus  has prolonged a planned closure of its final assembly plant in Tianjin, China, as a result of the coronavirus emergency, the planemaker said on Wednesday, adding it was monitoring for any signs of impact on deliveries.","The coronavirus epidemic will have a only a marginal impact on global travel demand and the airline industry is healthy enough to absorb any economic slowdown in China, the chief executive of British Airways parent IAG  said on Wednesday.","On the streets of Buenos Aires, money changers known as ""arbolitos"" or ""little trees"" are taking advantage of Argentina's capital controls to take a slice of a booming black market trade in U.S. dollars.","German sportswear company Adidas  on Wednesday said it was closing a ""considerable"" number of its shops in China, where the fast-spreading coronavirus has killed nearly 500 people and infected thousands."
5,20200206,20200206110342,China to halve tariffs on some U.S. imports as virus risks grow,"China on Thursday said it would halve additional tariffs levied against 1,717 U.S. goods last year, following the signing of a Phase 1 deal that brought a truce to a bruising trade war between the world's two largest economies.","Trump touts stock market's record run, but who benefits?","Stocks gain as China cuts tariffs, investors look beyond virus",Exclusive: China's mobile giants to take on Google's Play store - sources,"Trump touts stock market, but most Americans left out","Record closing highs for S&P; 500, Nasdaq",Breakingviews TV: Casper IPO,Honda may keep Wuhan plants closed longer due to outbreak: Nikkei,UK seeks big tariff reductions in U.S. trade deal,Qualcomm says China virus threatens phone industry disruption,Exclusive: BP eyes sale of Algerian gas plant after Rosneft talks fail - sources,"Total beats quarterly forecasts despite low oil price, lifts payout","Payments in high-value deals not a bribe, Mahathir says about AirAsia probe","Honda Motor Co  is considering keeping operations suspended for longer than planned at its three plants in the Chinese city at the center of the new coronavirus outbreak, the Nikkei newspaper reported on Thursday.","Britain is seeking far-reaching reductions in tariffs from a trade deal with the United States, trade minister Liz Truss said on Thursday, setting out the broad aims of her post-Brexit push to secure new free trade agreements.","Chip maker Qualcomm Inc  said on Wednesday that the coronavirus outbreak in China poses a potential threat to the mobile phone industry, with a possible impact on manufacturing and sales.","BP  is seeking buyers for its stake in a major Algerian gas plant deep in the Sahara desert after recent talks on a sale to Russian oil giant Rosneft  failed, three industry sources told Reuters.","Total  beat forecasts on Thursday by keeping net adjusted profit for the fourth quarter steady at $3.2 billion despite low oil prices and fulfilled a pledge to boost dividends, lifting the French energy major's shares.",Malaysian Prime Minister Mahathir Mohamad said on Thursday payments received to offset the costs of a high-value order could not be constituted as a bribe.
6,20200207,20200207071200,"U.S. payroll gains seen picking up, benchmark revisions under spotlight","U.S. job growth likely picked up in January, with unseasonably mild temperatures seen boosting hiring in the weather-sensitive sectors, indicating the economy will probably continue to grow moderately despite a deepening slump in business investment.","Tesla's surge inspires fans to buy, skeptics to dig in, drives fear of missing out",Rally in stocks runs out of steam as coronavirus toll climbs,Exclusive: Goldman Sachs to raise $8 billion for new buyout fund - sources,Uber sees profit by end of 2020,Wall Street reaches new highs,Breakingviews TV: Boy wonder,"Trump, Xi reaffirm backing for Phase 1 of U.S.-China trade deal","From black swan to bubble: as virus concerns fade, investors worry about a melt-up",Boeing's fraying 737 MAX suppliers see capacity crunch,"Japanese telco SoftBank posts 15% rise in third-quarter profit, hikes full-year forecast",Credit Suisse CEO Tidjane Thiam quits after spying scandal,,"U.S. President Donald Trump expressed confidence in China's strength and resilience in confronting its coronavirus outbreak during a conversation with President Xi Jinping on Thursday, a White House spokesman said.","When worries over the coronavirus shook U.S. stocks out of a period of quiet trading last week, investors wondered if the outbreak was the “Black Swan” event that would trigger a sharp decline. Less than a week later, talk has turned instead to a market melt-up.","Boeing Co suppliers are shedding jobs and capacity to cope with a halt in 737 MAX output, but while that staves off chaos, aerospace executives worry the industry might be unable to ramp factories quickly enough when the plane wins approval to fly again.","Japanese telco SoftBank Corp on Friday reported a 15% rise in third-quarter operating profit, beating estimates, underpinned by its mobile business.","Credit Suisse  said on Friday it had accepted Chief Executive Tidjane Thiam's resignation following a spying scandal. The Zurich-based bank said he would be replaced by Thomas Gottstein, the head of the bank's Swiss business.",
7,20200208,20200208100414,"Tesla's surge inspires fans to buy, skeptics to dig in, drives fear of missing out",Pretty much everyone on Wall Street has an opinion about Tesla .,Consumer discretionary names could see bumpy ride,Uber and Lyft take different roads in search of profit,"Ford shakes up top management, promises faster turnaround",Week ahead on Wall Street,Indexes fall off record highs,Breakingviews TV: Ford fumbles,"Fed says risks to economy easing, but calls out coronavirus in report to Congress","Blue collar boom? College grads, baby boomers big winners in Trump's economy",Mild weather boosts U.S. job growth; jobless rate ticks up,Treasury's Mnuchin sees U.S. GDP growth less than 3% in 2020,Shanghai government to help Tesla resume production amid coronavirus epidemic,Lockheed Martin drops out of Singapore Airshow over coronavirus concerns,"A ""moderately"" expanding U.S. economy was slowed last year by a manufacturing slump and weak global growth, but key risks have receded and the likelihood of recession has declined, the U.S. Federal Reserve said in its latest monetary policy report to the U.S. Congress.","U.S. President Donald Trump rolled out an eye-catching statistic in his State of the Union address Tuesday: the wealth held by the poorest half of American households increased three times as fast as the wealth held by the ""1%"" since he became president.","U.S. job growth accelerated in January, with unseasonably mild temperatures boosting hiring in weather-sensitive sectors, indicating the economy will probably continue to grow moderately despite a deepening slump in business investment.","Treasury Secretary Steven Mnuchin said on Friday he expects 2020 U.S. GDP growth to be less than 3%, partly due to problems at Boeing Co , which halted production of its 737 MAX planes over safety issues.","U.S. electric carmaker Tesla's  factory in China's financial hub of Shanghai will resume production on Feb. 10 with assistance to help it cope with a spreading epidemic of coronavirus, a Shanghai government official said on Saturday.",U.S. weapons maker Lockheed Martin Corp said on Friday it will not participate in next week's Singapore Airshow over coronavirus concerns.
8,20200209,20200209082017,Uber and Lyft take different roads in search of profit,"Uber Technologies Inc  and Lyft Inc , the two leading U.S. ride-hailing companies, are on divergent paths as Uber pours money into money-losing side businesses while smaller rival Lyft focuses on moving people around.",Tesla can get support for German factory: Economy Minister,Credit Suisse chairman expects to see out term after spy scandal,"Ford shakes up top management, promises faster turnaround",Be cautious with China: Pompeo,Week ahead on Wall Street,Indexes fall off record highs,Consumer discretionary names could see bumpy ride,"Fed says risks to economy easing, but calls out coronavirus in report to Congress","Exclusive: South Africa seeks to unlock stalled arms sales to Saudi, UAE","Blue collar boom? College grads, baby boomers big winners in Trump's economy",Volkswagen says restart of some China plants postponed until February 17,Mild weather boosts U.S. job growth; jobless rate ticks up,A raft of earnings reports from consumer discretionary companies and U.S. retail sales data set for the coming week could help investors determine to what extent the coronavirus is hitting consumer demand.,"A ""moderately"" expanding U.S. economy was slowed last year by a manufacturing slump and weak global growth, but key risks have receded and the likelihood of recession has declined, the U.S. Federal Reserve said in its latest monetary policy report to the U.S. Congress.","South Africa aims to free up over a billion dollars in stalled weapons sales, including to Saudi Arabia and United Arab Emirates, by amending a document at the heart of an export row, a senior arms control official told Reuters.","U.S. President Donald Trump rolled out an eye-catching statistic in his State of the Union address Tuesday: the wealth held by the poorest half of American households increased three times as fast as the wealth held by the ""1%"" since he became president.",Volkswagen  has postponed restarting production at most China plants in its joint venture with SAIC Motor  and the Tianjin plant in its JV with FAW Group until Feb. 17 amid the coronavirus epidemic.,"U.S. job growth accelerated in January, with unseasonably mild temperatures boosting hiring in weather-sensitive sectors, indicating the economy will probably continue to grow moderately despite a deepening slump in business investment."
9,20200210,20200210111336,"Virus uncertainty weighs on global shares, dollar takes breather","Global shares fell on Monday as the death toll from a coronavirus outbreak exceeded the SARS epidemic of two decades ago, though Chinese shares rose as authorities lifted some work and travel curbs, helping businesses to resume operations.",SoftBank set for sharp quarterly profit drop amid pressure from Elliott,"In Dutch court, Ghosn seeks release of internal documents",Britain 'reasonably confident' of U.S. trade deal despite Huawei concerns,Be cautious with China: Pompeo,Week ahead on Wall Street,Indexes fall off record highs,"No phones, no leaks: How Lagarde is making her mark on ECB",Exclusive: Top lithium miner seeks to monitor water scarcity in parched Chile salt flat,Australia cartel investigator says no impropriety in exchanges with JPMorgan lawyers,GM to restart production in China from Feb. 15,"Oil slips on weaker Chinese demand, traders await OPEC+ cuts",Israel's Elbit Systems wins $136 million in contracts in Asia-Pacific,"Gathered in a German mountain castle last November for an evening retreat that ended with a whiskey-tasting, rebel European Central Bank policymakers and Christine Lagarde, their newly confirmed president, made a pact.","With residents and courts ringing the alarm about depleted water supplies in Chile's Atacama salt flat, the world's top lithium miner Albemarle  quietly filed a proposal in December for a network to monitor flows beneath the parched desert floor.","An Australian antitrust investigator who helped bring criminal cartel charges against Citigroup Inc  and Deutsche Bank AG  denied acting with ""impropriety"" when presented with communications between the regulator and informants' lawyers.","General Motors said on Monday it would restart production in from Feb. 15 in China, where the country is dealing with a coronavirus epidemic which has killed more than 900 people.",Oil prices slipped on Monday on weaker Chinese oil demand in the wake of the coronavirus outbreak and as traders waited to see if Russia would join other producers in seeking further output cuts.,Israeli defense firm Elbit Systems Ltd  said on Monday it won contracts worth $136 million to provide customers in Asia-Pacific with airborne laser direct infrared countermeasure (DIRCM) systems.
